Time: Clubes, Código: 
Time: vs Freiburg, Código: a486e511
Time: vs Gladbach, Código: 32f3ee20
Time: vs Heidenheim, Código: 18d9d2a7
Time: vs Hoffenheim, Código: 033ea6b8
Time: vs Holstein Kiel, Código: 2ac661d9
Time: vs Leverkusen, Código: c7a9f859
Time: vs Mainz 05, Código: a224b06a
Time: vs RB Leipzig, Código: acbb6a5b
Time: vs St. Pauli, Código: 54864664
Time: vs Stuttgart, Código: 598bc722
Time: vs Union Berlin, Código: 7a41008f
Time: vs Werder Bremen, Código: 62add3bf
Time: vs Wolfsburg, Código: 4eaa11d7
Time: Napoli, Código: d48ad4ff
Time: Inter, Código: d609edc0
Time: Atalanta, Código: 922493f3
Time: Lazio, Código: 7213da33
Time: Juventus, Código: e0652b02
Time: Fiorentina, Código: 421387cf
Time: Milan, Código: dc56fe14
Time: Bologna, Código: 1d8099f8
Time: Roma, Código: cf74a709
Time: Torino, Código: 105360fe
Time: Udinese, Código: 04eea015
Time: Genoa, Código: 658bf2de
Time: Lecce, Código: ffcbe334
Time: Como, Código: 28c9c3cd
Time: Empoli, Código: a3d88bd8
Time: Cagliari, Código: c4260e09
Time: Parma, Código: eab4234c
Time: Hellas Verona, Código: 0e72edf2
Time: Venezia, Código: af5d5982
Time: Monza, Código: 21680aa4
Time: vs Atalanta, Código: 922493f3
Time: vs Bologna, Código: 1d8099f8
Time: vs Cagliari, Código: c4260e09
Time: vs Como, Código: 28c9c3cd
Time: vs Empoli, Código: a3d88bd8
Time: vs Fiorentina, Código: 421387cf
Time: vs Genoa, Código: 658bf2de
Time: vs Hellas Verona, Código: 0e72edf2
Time: vs Inter, Código: d609edc0
Time: vs Juventus, Código: e0652b02
Time: vs Lazio, Código: 7213da33
Time: vs Lecce, Código: ffcbe334
Time: vs Milan, Código: dc56fe14
Time: vs Monza, Código: 21680aa4
Time: vs Napoli, Código: d48ad4ff
Time: vs Parma, Código: eab4234c
Time: vs Roma, Código: cf74a709
Time: vs Torino, Código: 105360fe
Time: vs Udinese, Código: 04eea015
Time: vs Venezia, Código: af5d5982
Time: Paris S-G, Código: e2d8892c
Time: Marseille, Código: 5725cc7b
Time: Monaco, Código: fd6114db
Time: Nice, Código: 132ebc33
Time: Lens, Código: fd4e0f7d
Time: Lille, Código: cb188c0c
Time: Lyon, Código: d53c0b06
Time: Brest, Código: fb08dbb3
Time: Strasbourg, Código: c0d3eab4
Time: Toulouse, Código: 3f8c4b5f
Time: Auxerre, Código: 5ae09109
Time: Reims, Código: 7fdd64e0
Time: Angers, Código: 69236f98
Time: Nantes, Código: d7a486cd
Time: Saint-Étienne, Código: d298ef2c
Time: Rennes, Código: b3072e00
Time: Montpellier, Código: 281b0e73
Time: Le Havre, Código: 5c2737db
Time: vs Angers, Código: 69236f98
Time: vs Auxerre, Código: 5ae09109
Time: vs Brest, Código: fb08dbb3
Time: vs Le Havre, Código: 5c2737db
Time: vs Lens, Código: fd4e0f7d
Time: vs Lille, Código: cb188c0c
Time: vs Lyon, Código: d53c0b06
Time: vs Marseille, Código: 5725cc7b
Time: vs Monaco, Código: fd6114db
Time: vs Montpellier, Código: 281b0e73
Time: vs Nantes, Código: d7a486cd
Time: vs Nice, Código: 132ebc33
Time: vs Paris S-G, Código: e2d8892c
Time: vs Reims, Código: 7fdd64e0
Time: vs Rennes, Código: b3072e00
Time: vs Saint-Étienne, Código: d298ef2c
Time: vs Strasbourg, Código: c0d3eab4
Time: vs Toulouse, Código: 3f8c4b5f
Time: Sporting CP, Código: 13dc44fd
Time: Benfica, Código: a77c513e
Time: Porto, Código: 5e876ee6
Time: Braga, Código: 69d84c29
Time: Santa Clara, Código: f5b64cb1
Time: Casa Pia, Código: b20a2b76
Time: Vitória, Código: 3f319bc9
Time: Estoril, Código: 00c41b75
Time: Rio Ave, Código: eea856da
Time: Moreirense, Código: e4502862
Time: Gil Vicente FC, Código: 6a329209
Time: Famalicão, Código: 2de656d5
Time: Arouca, Código: 0d36ddd4
Time: Nacional, Código: 5c9eb756
Time: AVS Futebol, Código: e5ce5a65
Time: Estrela, Código: 0cb9f756
Time: Farense, Código: 489c9cd9
Time: Boavista, Código: 37b7e9e2
Time: vs Arouca, Código: 0d36ddd4
Time: vs AVS Futebol, Código: e5ce5a65
Time: vs Benfica, Código: a77c513e
Time: vs Boavista, Código: 37b7e9e2
Time: vs Braga, Código: 69d84c29
Time: vs Casa Pia, Código: b20a2b76
Time: vs Estoril, Código: 00c41b75
Time: vs Estrela, Código: 0cb9f756
Time: vs Famalicão, Código: 2de656d5
Time: vs Farense, Código: 489c9cd9
Time: vs Gil Vicente FC, Código: 6a329209
Time: vs Moreirense, Código: e4502862
Time: vs Nacional, Código: 5c9eb756
Time: vs Porto, Código: 5e876ee6
Time: vs Rio Ave, Código: eea856da
Time: vs Santa Clara, Código: f5b64cb1
Time: vs Sporting CP, Código: 13dc44fd
Time: vs Vitória, Código: 3f319bc9
Time: PSV Eindhoven, Código: e334d850
Time: Ajax, Código: 19c3f8c4
Time: Utrecht, Código: 2a428619
Time: Feyenoord, Código: fb4ca611
Time: Twente, Código: a1f721d3
Time: AZ Alkmaar, Código: 3986b791
Time: Go Ahead Eag, Código: e33d6108
Time: NAC Breda, Código: 8ed04be8
Time: Fortuna Sittard, Código: bd08295c
Time: Heerenveen, Código: 193ff7aa
Time: NEC Nijmegen, Código: fc629994
Time: Willem II, Código: f0479d7b
Time: Zwolle, Código: e3db180b
Time: Groningen, Código: bec05adb
Time: Heracles Almelo, Código: c882b88e
Time: Sparta R'dam, Código: 146a68ce
Time: RKC Waalwijk, Código: bb14adb3
Time: Almere City, Código: 2b41acb5
Time: vs Ajax, Código: 19c3f8c4
